product_id,product_name
0,AgedWhiteCheddarPopcorn
1,OrganicUnsweetenedVanillaAlmondMilk
2,OriginalBeefJerky
3,Soda
4,XLPick-A-SizePaperTowelRolls
5,BagofOrganicBananas
6,CinnamonToastCrunch
7,Pistachios
8,CreamyAlmondButter
9,OrganicStringCheese
10,BartlettPears
11,HoneycrispApples
12,OrganicFujiApples
13,OrganicHalf&Half
14,ZeroCalorieCola
15,0%GreekStrainedYogurt
16,MilkChocolateAlmonds
17,OrganicUnsweetenedAlmondMilk
18,BakedRiceandCornPuffs
19,AgedWhiteCheddar
20,Eggs
21,Hard-Boiled
22,HardBoiledEggs
23,PlainPre-SlicedBagels
24,StrawberryontheBottomNonfatGreekYogurt
25,ChewyChocolateChipGranolaBars
26,GoldfishCheddarBakedSnackCrackers
27,OrganicGalaApples
28,SlimCanPinkGrapefruitNaturalMineralWater
29,SparklingMineralWater
30,CrunchyOats'nHoneyGranola
31,OrganicMiniSandwichCrackersPeanutButter
32,StrawberryPreserves
33,Sweet&SaltyNutAlmondGranolaBars
34,UnsweetenedIcedTea
35,UnsweetenedPremiumIcedTea
36,PlainUnsaltedRiceCakes
37,12OzLager
38,CannedAranciataOrange
39,IndiaPaleAle
40,NaturalAlmonds100CaloriePacks
41,StoliBlueberi
42,Total2%AllNaturalGreekStrainedYogurtwithHoney
43,Total2%withStrawberryLowfatGreekStrainedYogurt
44,WasabiRoastedSeaweedSnacks
45,CountryStandJuice
46,MediumPulp
47,RevelBerryYerbaMate
48,SparkingAppleCider
49,SweetChipotleBeefJerky
50,LimeSparklingWater
51,Chardonnay
52,Clara
53,MorningFogChardonnay
54,PinotNoir
55,OriginalCreamCheese
56,OriginalFrenchVanillaYogurt
57,OriginalStrawberryLowFatYogurt
58,PeachontheBottomNonfatGreekYogurt
59,Sweet&SaltyNutCashewsGranola
60,CabernetSauvignon
61,ChardonnayWine
62,Limes
63,PremiumBeer
64,Vintner'sReserveChardonnay
65,Banana
66,OrganicFujiApple
67,TrilogyKombuchaDrink
68,BolthouseBabyCarrots
69,MiniOriginalBabybelCheese
70,Nuts&SpicesDarkChocolateNuts&SeaSaltSnackBars
71,SweetChiliPistachios
72,Clementines
73,Bag
74,OrganicAvocado
75,OldFashionedBeefJerky
76,OriginalSemisoftCheese
77,GlutenFreeOriginalGranola
78,Half&Half
79,SparklingWaterGrapefruit
80,ClassicSeasoningwithLime
81,FridgePackCola
82,100CaloriePerBagPopcorn
83,Blueberries
84,CaramelFlavoredSundaeSyrup
85,CerealVarietyFunPack
86,Chocolate&PeanutButterShellTopping
87,ChocolateIceCream
88,DairyFreeCoconutMilkVanillaBeanFrozenDessert
89,HomemadeVanillaIceCream
90,MapleAlmondButter
91,OrganicGreenKale
92,OrganicStrawberries
93,Raspberries
94,Spinach
95,BerryShotDietarySupplement
96,GlutenFreeWholeGrainBread
97,ProteinEnergyBarOriginalFrenchVanillaCreme
98,HazelnutSpreadWithSkimMilk&Cocoa
99,OrganicLightlySaltedBrownRiceCakes
100,SrirachaHotChiliSauce
101,WhiteCheddarRiceCakes
102,CranberryPomegranateSparklingYerbaMate
103,NoSaltRoastedPistachios
