1,8
36,8
38,9
96,7
98,49
112,11
170,17
218,5
226,13
349,11
393,8
456,9
473,8
631,17
719,1
762,4
774,3
844,7
878,28
904,2
915,14
988,4
1001,4
1032,25
1042,8
1077,4
1086,5
1119,6
1120,2
1139,9
1143,17
1145,30
1275,5
1280,5
1318,4
1325,5
1335,10
1342,8
1350,11
1468,17
1571,4
1572,19
1579,5
1591,31
1597,10
1620,20
1674,4
1682,8
1703,6
1721,6
1764,2
1851,3
1865,11
1890,15
1955,33
1983,29
1994,17
2011,3
2021,17
2029,15
2068,23
2087,7
2115,4
2191,8
2216,2
2318,4
2389,3
2415,6
2442,6
2445,36
2468,8
2530,2
2603,5
2711,4
2737,3
2820,4
2822,29
2853,4
2869,12
2888,34
2889,12
2936,3
2937,16
2948,4
2985,8
3010,8
3037,3
3056,21
3068,2
3091,8
3103,4
3142,6
3160,6
3176,1
3179,8
3200,9
3209,7
3212,1
3227,1
3243,5
3300,6
3309,4
3321,5
3327,10
3336,9
3349,5
3368,20
3378,27
3397,7
3405,10
3422,34
3473,17
3484,24
3509,2
3514,1
3527,8
3529,2
3533,7
3563,9
3649,3
3733,22
3740,15
3752,3
3785,30
3817,5
3819,2
3830,5
3861,5
3871,1
3898,19
3901,6
3938,7
3946,10
3957,26
3971,13
3979,4
4006,9
4011,9
4036,6
4067,6
4090,3
4092,17
4111,1
4146,6
4148,2
4164,24
4185,9
4189,2
4194,12
4201,18
4203,17
4217,5
4234,37
4250,5
4267,13
4269,9
4284,14
4305,9
4309,24
4340,17
4347,18
4361,4
4383,5
4415,5
4431,9
4437,12
4468,5
4494,22
4495,1
4505,8
4519,1
4556,4
4562,12
4577,18
4590,10
4633,19
4637,9
4638,5
4658,2
4677,6
4680,21
4695,23
4711,15
4726,18
4752,2
4772,1
4790,13
4801,14
4827,17
4844,2
4885,6
4914,4
4918,14
4935,1
4968,15
4979,6
4984,9
4998,3
5029,2
5044,6
5046,1
5081,14
5116,8
5117,9
5299,18
5354,7
5356,4
5362,4
5365,20
5368,3
5404,1
5416,1
5433,8
5437,2
5447,17
5459,36
5460,15
5466,33
5468,7
5532,7
5535,21
5606,11
5611,10
5619,4
5643,7
5660,8
5696,3
5715,6
5719,8
5728,5
5731,8
5734,5
5739,11
5743,11
5796,26
5830,6
5836,17
5846,24
5858,2
5903,8
5910,2
5933,25
5939,6
5950,5
5966,2
5981,2
5985,10
5991,2
6000,14
6023,10
6029,10
6096,6
6129,26
6180,5
6187,3
6199,8
6282,11
6286,16
6315,11
6333,4
6349,5
6355,18
6357,9
6369,1
6394,12
6434,6
6443,6
6454,11
6485,8
6549,9
6552,15
6562,6
6568,8
6594,4
6601,13
6693,16
6695,20
6764,13
6773,3
6804,4
6821,6
6833,6
6842,54
6845,9
6861,21
6880,6
6900,11
6935,12
6936,3
6945,1
6948,11
6971,19
7019,28
7034,13
7044,3
7049,23
7093,7
7096,1
7168,8
7177,5
7200,23
7264,13
7266,2
7318,10
7367,4
7386,25
7464,7
7537,2
7559,5
7560,7
7615,15
7627,17
7657,6
7692,5
7697,8
7724,4
7741,6
7746,13
7755,9
7793,54
7865,2
7876,15
7916,17
7925,5
7997,24
8005,15
8037,10
8116,6
8121,25
8144,4
8191,2
8210,6
8213,8
8216,23
8226,6
8231,15
8316,4
8349,19
8376,3
8400,42
8513,20
8562,8
8564,1
8568,7
8595,10
8616,1
8619,8
8704,44
8721,5
8742,3
8772,11
8839,8
8850,17
8932,6
8964,7
8980,9
9017,16
9059,4
9078,12
9180,3
9188,15
9206,8
9238,5
9294,11
9297,29
9321,7
9322,30
9339,1
9421,3
9517,5
9534,2
9593,2
9653,8
9720,19
9734,7
9776,11
9780,3
9839,2
9869,5
9879,23
9904,2
9926,17
9932,6
9934,23
10006,4
10015,3
10101,17
10146,16
10156,11
10162,9
10208,21
10242,10
10263,8
10270,8
10278,9
10285,10
10286,2
10287,1
10301,15
10362,36
10371,18
10414,11
10446,4
10507,11
10508,4
10526,12
10542,12
10616,8
10626,1
10642,7
10667,13
10696,2
10713,14
10736,5
10751,6
10752,9
10754,3
10791,3
10807,14
10812,27
10818,38
10845,20
10859,17
10889,10
10905,31
10922,3
10988,7
11039,5
11052,1
11098,9
11114,17
11119,5
11168,21
11185,3
11213,16
11236,3
11239,7
11282,37
11286,19
11301,5
11340,4
11382,2
11390,17
11395,12
11427,18
11435,7
11478,4
11480,2
11490,25
11526,7
11552,5
11611,8
11646,13
11650,8
11724,21
11759,10
11783,7
11806,2
11861,10
11877,1
11930,33
11961,6
11962,12
11978,1
11980,13
12009,2
12032,23
12120,11
12123,8
12151,20
12182,3
12200,9
12221,2
12393,8
12436,8
12462,6
12480,6
12510,9
12525,11
12538,26
12562,18
12594,32
12649,5
12651,3
12703,4
12707,3
12723,27
12743,16
12744,6
12760,8
12768,30
12770,14
12786,6
12837,4
12847,29
12875,12
12887,26
12950,35
12983,12
12984,12
12995,19
13038,10
13041,1
13055,3
13061,2
13066,10
13069,6
13073,8
13094,2
13097,4
13110,10
13169,5
13200,1
13235,2
13248,29
13315,18
13318,9
13329,2
13358,6
13365,6
13468,2
13481,7
13496,7
13549,9
13553,5
13554,6
13555,5
13562,23
13585,4
13586,9
13592,12
13701,23
13706,10
13746,16
13749,3
13769,10
13771,5
13825,16
13843,6
13863,6
13887,14
13890,7
13892,7
13908,14
13988,17
13997,14
13998,7
14043,15
14054,13
14083,6
14119,14
14126,10
14142,15
14170,5
14172,12
14246,9
14287,5
14301,25
14305,9
14312,11
14314,19
14317,21
14430,6
14437,6
14454,7
14538,7
14571,8
14585,9
14587,1
14654,16
14753,6
14792,1
14899,13
14902,1
14922,27
14946,16
14951,1
14963,13
14970,3
14971,6
14988,12
15016,6
15019,14
15044,9
15071,1
15091,16
15113,11
15131,16
15168,23
15177,21
15195,5
15213,4
15310,2
15367,25
15373,1
15430,7
15462,1
15477,12
15493,42
15548,7
15664,25
15693,15
15694,1
15701,29
15748,3
15763,8
15792,9
15843,11
15853,38
15878,3
15929,4
15955,3
16097,9
16117,18
16128,7
16139,5
16143,12
16152,8
16153,26
16182,4
16183,8
16184,10
16224,16
16230,13
16243,9
16247,3
16263,5
16281,12
16303,18
16349,3
16423,5
16428,7
16452,6
16453,10
16478,3
16530,6
16577,2
16590,10
16656,7
16664,16
16677,7
16722,8
16726,23
16824,25
16847,5
16910,16
16969,17
17010,1
17035,19
17047,9
17102,2
17112,6
17148,29
17152,23
17167,15
17188,4
17196,18
17205,1
17207,22
17220,9
17236,13
17275,6
17299,25
17360,24
17374,9
17403,8
17418,5
17531,3
17538,5
17549,18
17585,13
17589,2
17590,8
17610,34
17613,25
17618,12
17637,33
17683,28
17709,17
17713,29
17741,16
17752,11
17779,24
17829,28
17853,2
17906,1
17912,14
17941,4
17973,16
17982,23
17986,1
18020,3
18064,9
18079,16
18086,11
18099,1
18152,3
18162,11
18205,3
18207,15
18248,15
18261,4
18271,19
18312,4
18318,6
18333,3
18381,9
18400,9
18414,11
18488,2
18492,6
18543,1
18620,13
18629,3
18675,10
18711,24
18713,9
18726,14
18731,5
18742,1
18762,4
18769,17
18778,11
18798,7
18829,11
18888,13
18890,3
18901,2
18905,3
18915,7
18965,12
18975,19
18987,4
19004,13
19030,3
19041,8
19097,46
19098,21
19145,17
19173,4
19177,7
19204,14
19211,2
19236,31
19241,5
19271,18
19296,1
19303,5
19314,10
19345,9
19385,15
19405,3
19428,10
19431,1
19465,8
19471,15
19473,7
19485,19
19504,3
19515,23
19543,25
19552,19
19583,15
